image_id	poem
img_83192	孔子亦矙其亡也，而往拜之。
img_83193	仁人之于弟也，不藏怒焉，不宿怨焉，亲爱之而已矣。
img_83194	仁之实，事亲是也义之实，从兄是也。
img_83195	民之归仁也，犹水之就下，兽之走圹也。
img_83196	以不忍人之心，行不忍人之政，治天下可运之掌上。
img_83197	争地以战，杀人盈野争城以战，杀人盈城，此所谓率土地而食人肉，罪不容于死。
img_83198	君子引而不发，跃如也。
img_83199	天之生此民也，使先知觉后知，使先觉觉后觉也。
img_83200	梓匠轮舆，能与人规矩，不能使人巧。
img_83201	耻之于人大矣。为机变之巧者，无所用耻焉。
img_83202	民之归仁也，犹水之就下兽之走圹也。
img_83203	得天下英才而教育之。
img_83204	吾未闻枉己而正人者也，况辱已以正天下者乎。
img_83205	仁则荣，不仁则辱。
img_83206	博学而详说之，将以反说约也。
img_83207	以大事小者，乐天者也。
img_83208	为其象人而用之也。如之何其使斯民饥而死也。
img_83209	乐民之乐者，民亦乐其乐。
img_83210	天降下民，作之君，作之师，惟曰其助上帝宠之。
img_83211	保民而王，莫之能御也。
img_83212	拔一毛而利天下，不为也。
img_83213	无父无君，是禽兽也。
img_83214	善政得民财，善教得民心。
img_83215	虽有天下易生之物也，一日暴之，十日寒之。未有能生者也。
img_83216	是故君子有终身之忧，无一朝之患也。
img_83217	为高必因丘陵，为下必因川泽。
img_83218	惟顺于父母，可以解忧。
img_83219	尊贤使能，俊杰在位。
img_83220	恻隐之心，人皆有之
img_83221	君之视臣如手足则臣视君如腹心君之视臣如犬马，则臣视君如国人君之视臣如土芥，则臣视君如寇雠。
img_83222	志，气之帅也。
img_83223	权，然后知轻重度，然后知长短。物皆然，心为甚。
img_83224	贤者在位，能者在职。
img_83225	乐民之乐者，民亦乐其乐忧民之忧者，民亦忧其忧。
img_83226	不挟长，不挟贵，不挟兄弟而友。
img_83227	听其言也，观其眸子，人焉廋哉？
img_83228	人之患在好为人师。
img_83229	生亦我所欲，所欲有甚于生者，故不为苟得也。
img_83230	父子有亲，君臣有义，夫妇有别，长幼有序，朋友有信。
img_83231	君子之守，修其身而天下平。
img_83232	言者所以在意，得意而忘言。
img_83233	尾生与女子期于梁下，女子不来，水至不去，抱梁柱而死。
img_83234	彼窃钩者诛，窃国者为诸侯，诸侯之门而仁义存焉
img_83235	不得乎亲，不可以为人不顺乎亲，不可以为子。
img_83236	且君子之交淡若水，小人之交甘若醴。
img_83237	凡人心险于山川，难于知天。
img_83238	相呴以湿，相濡以沫，不如相忘于江湖。
img_83239	知其不可奈何而安之若命。
img_83240	哀莫大于心死。
img_83241	夫鱼食其饵，乃牵于缗人食其禄，乃服于君。
img_83242	君不肖，则国危而民乱，君贤圣则国安而民治，祸福在君不在天时。
img_83243	一者，阶于道，几于神。
img_83244	情同而亲合，亲合而事生之。
img_83245	见善而怠，时至而疑。知非而处，此三者道之所止也。
img_83246	利天下者，天下启之害天下者，天下闭之。
img_83247	外乱而内整，示饥而实饱，内精而外钝。
img_83248	道隐于小成，言隐于荣华。
img_83249	心以启智，智以启财，财以启众，众以启贤，贤之有启，以王天下。
img_83250	同天下之利者，则得天下擅天下之利者，则失天下。
img_83251	天下者非一人之天下，唯有道者处之。
img_83252	用之在于机，显之在于势。
img_83253	臣闻君子乐得其志。小人乐得其事。
img_83254	勿以身贵而贱人，勿以独见而违众。
img_83255	守职而不废，处义而不回。
img_83256	道也者，不可须臾离也可离，非道也。是故君子戒慎乎其所不睹，恐惧乎其所不闻。
img_83257	天下国家，可均也爵禄，可辞也白刃，可蹈也中庸不可能也。
img_83258	素富贵，行乎富贵素贫贱，行乎贫贱素夷狄，行乎夷狄素患难，行乎患难。君子无入而不自得焉。
img_83259	至乐无乐，至誉无誉。
img_83260	庸德之行，庸言之谨有所不足，不敢不勉
img_83261	辟如天地之无不持载，无不覆帱。辟如四时之错行，如日月之代明。
img_83262	愚而好自用，贱而好自专。生乎今之世，反古之道。如此者灾及其身者也。
img_83263	唯天下至诚为能尽其性。能尽其性，则能尽人之性。
img_83264	中也者，天下之大本也。和也者，天下之达道也。
img_83265	苟不至德，至道不凝焉。
img_83266	为政在人。取人以身。修身以道。修道以仁。
img_83267	虽有其位，苟无其德，不敢作礼乐焉。虽有其德，苟无其位，亦不敢作礼乐焉。
img_83268	君子无入而不自得焉。
img_83269	诚之者，择善而固执之者也。
img_83270	祸福将至，善必先知之不善，必先知之。故至诚如神。
img_83271	仁者，人也，亲亲为大。义者，宜也，尊贤为大。
img_83272	博厚，所以载物也。高明，所以覆物也。悠久，所以成物也。
img_83273	君子素其位而行，不愿乎其外。
img_83274	道之不行也，我知之矣知者过之愚者不及也。道之不明也，我知之矣贤者过之不肖者不及也。
img_83275	天之生物必因其材而笃焉。故栽者培之，倾者覆之。
img_83276	万物并育而不相害。道并行而不相悖。
img_83277	君子尊德性，而道问学，致广大，而尽精微，极高明，而道中庸。温故，而知新，敦厚以崇礼。
img_83278	泉涸，鱼相与处于陆，相呴以湿，相濡以沫，不如相忘于江湖。
img_83279	其次致曲。曲能有诚。诚则形。形则著。著则明。明则动。动则变。变则化。唯天下至诚为能化。
img_83280	肌肤若冰雪，淖约若处子不食五谷，吸风饮露乘云气，御飞龙，而游乎四海之外
img_83281	君子戒慎乎其所不睹，恐惧乎其所不闻。
img_83282	博学之，审问之，慎思之，明辨之，笃行之。
img_83283	君子之道，闇然而日章小人之道，的然而日亡。
img_83284	自诚明，谓之性自明诚谓之教。
img_83285	居上不骄，为下不倍。国有道，其言足以兴国无道，其默足以容。
img_83286	诚者，不勉而中不思而得从容中道，圣人也。
img_83287	今夫山一卷石之多，及其广大，草木生之，禽兽居之，宝藏兴焉。
img_83288	宽柔以教，不报无道，南方之强也。君子居之。
img_83289	诚者，非自成己而已也。所以成物也。成己仁也。成物知也。性之德也，合外内之道也。故时措之宜也。
img_83290	井蛙不可以语于海者，拘于虚也夏虫不可以语于冰者，笃于时也
img_83291	中庸其至矣乎！民鲜能久矣。
img_83292	国家将兴，必有祯祥国家将亡，必有妖孽。
img_83293	今夫天斯昭昭之多，及其无穷也，日月星辰系焉，万物覆焉。
img_83294	今夫地一撮土之多，及其广厚载华岳而不重，振河海而不洩，万物载焉。
img_83295	天地之道，可一言而尽也。其为物不贰，则其生物不测。
img_83296	君子内省不疚，无恶于志。君子之所不可及者，其唯人之所不见乎。
img_83297	文武之政，布在方策。其人存，则其政举其人亡，则其政息。
img_83298	君子遵道而行，半途而废吾弗能已矣。
img_83299	忠恕违道不远。施诸己而不愿，亦勿施于人。
img_83300	好人之所恶，恶人之所好，是谓拂人之性，灾必逮夫身。
img_83301	至诚之道可以前知。国家将兴，必有祯祥国家将亡，必有妖孽。
img_83302	天地之大也，人犹有所憾。故君子语大，天下莫能载焉，语小，天下莫能破焉。
img_83303	射有似乎君子。失诸正鹄，反求诸其身。
img_83304	舜其大知也与！舜好问而好察迩言。隐恶而扬善。执其两端，用其中于民。其斯以为舜乎！
img_83305	天地之道，博也厚也高也明也悠也久也。
img_83306	素富贵，行乎富贵素贫贱，行乎贫贱
img_83307	君子，不可以不修身。思修身，不可以不事亲。思事亲，不可以不知人。思知人，不可以不知天。
img_83308	愚而好自用，贱而好自专。
img_83309	生而知之或学而知之或困而知之及其知之，一也。
img_83310	君子和而不流强哉矫。中立而不倚强哉矫。国有道，不变塞焉强哉矫。国无道，至死不变强哉矫。
img_83311	诚者自成也，而道自道也。
img_83312	君子居易以俟命，小人行险以徼幸。
img_83313	道不远人。人之为道而远人，不可以为道。
img_83314	唯天下至诚，方能经纶天下之大经，立天下之大本
img_83315	万物并育而不相害。道并行而不相悖。小德川流大德敦化。
img_83316	有弗学，学之弗能，弗措也。有弗问，问之弗知，弗措也。有弗思，思之弗得，弗措也。有弗辨，辨之弗明，弗措
img_83317	天命之谓性率性之谓道
img_83318	人一能之，己百之。人十能之，己千之。
img_83319	福在积善，祸在积恶。
img_83320	涓涓不塞，将为江河。荧荧不救，炎炎奈何
img_83321	以饵取鱼，鱼可杀以禄取人，人可竭以家取国，国可拔以国取天下，天下可毕。
img_83322	上有好者，下必有甚焉者矣。
img_83323	夫人必自侮，然后人侮之家必自毁，而后人毁之国必自伐，而后人伐之。
img_83324	资之深，则取之左右逢其原。
img_83325	不以规矩，不能成方圆
img_83326	君子不动而敬，不言而信。
img_83327	以若所为，求若所欲，犹缘木而求鱼也。
img_83328	以五十步笑百步。
img_83329	民为贵，社稷次之，君为轻。
img_83330	不孝有三，无后为大。
img_83331	正己而不求于人则无怨。上不怨天，下不尤人。
img_83332	道在尔而求诸远，事在易而求之难。
img_83333	老吾老，以及人之老幼吾幼，以及人之幼。
img_83334	权，然后知轻重度，然后知长短。
img_83335	君子之泽，五世而斩。
img_83336	我善养吾浩然之气。
img_83337	出于其类，拔乎其萃。
img_83338	人不可以无耻。无耻之耻，无耻矣。
img_83339	生于忧患而死于安乐。
img_83340	仁者如射，射者正己而后发。发而不中，不怨胜己者，反求诸己而已矣。
img_83341	得道者多助，失道者寡助。
img_83342	古之人，得志，泽加于民不得志，修身见于世。穷则独善其身，达则兼善天下。
img_83343	人有不为也，而后可以有为也。
img_83344	登泰山而小天下。
img_83345	其进锐者，其退速。
img_83346	恭者不侮人，俭者不夺人。
img_83347	富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫。
img_83348	夫孝者，善继人之志，善述人之事者也。
img_83349	恻隐之心，仁之端也羞恶之心，义之端也辞让之心，礼之端也是非之心，智之端也。
img_83350	天时不如地利，地利不如人和。
img_83351	爱人者人恒爱之，敬人者人恒敬之。
img_83352	好学近乎知。力行近乎仁。知耻近乎勇。
img_83353	君子之道，暗然而日章小人之道，的然而日亡。
img_83354	劳心者治人，劳力者治于人。
img_83355	君子动而世为天下道，行而世为天下法，言而世为天下则。
img_83356	尽信书，则不如无书。
img_83357	君子不怨天，不尤人。
img_83358	无为其所不为，无欲其所不欲。
img_83359	人之患，在好为人师。
img_83360	穷则独善其身，达则兼善天下。
img_83361	守经事而不知其宜，遭变事而不知其权。
img_83362	故音乐者，所以动荡血脉，通流精神而和正心也。
img_83363	得黄金百，不如得季布一诺
img_83364	彊弩之极，矢不能穿鲁缟冲风之末，力不能漂鸿毛。
img_83365	疑行无名，疑事无功。
img_83366	富贵不能淫，贫贱不能移，威武不能屈。
img_83367	君子怀德，小人怀土君子怀刑，小人怀惠。
img_83368	视其所以，观其所由，察其所安，人焉廋哉！人焉廋哉！
img_83369	穷不失义，达不离道。
img_83370	诚者，天之道也。诚之者，人之道也。诚者，不勉而中不思而得从容中道，圣人也。诚之者，择善而固执之者也
img_83371	生而知之者上也，学而知之者次也困而学之又其次也。困而不学，民斯为下矣。
img_83372	君子耻其言而过其行。
img_83373	行有不得者，皆反求诸己，其身正而天下归之。
img_83374	躬自厚而薄责于人，则远怨矣。
img_83375	良贾深藏若虚，君子盛德容貌若愚。
img_83376	鉴於水者见面之容，鉴於人者知吉与凶
img_83377	仁者爱万物，而智者备祸于未形，不仁不智，何以为国？
img_83378	以三寸之舌，彊於百万之师。
img_83379	聪以知远，明以察微。
img_83380	善用兵者，不以短击长，而以长击短。
img_83381	以权利合者，权利尽而交疏
img_83382	败军之将，不可以言勇。
img_83383	一沐三捉发，一饭三吐哺。
img_83384	人方为刀俎，我为鱼肉
img_83385	见人不正，虽贵不敬也见人有污，虽尊不下也。
img_83386	贵出如粪土，贱取如珠玉。
img_83387	道不同，不相为谋。
img_83388	力田不如逢年，善仕不如遇合。
img_83389	好学深思，心知其意。
img_83390	家贫则思良妻，国乱则思良相
img_83391	小不忍，则乱大谋。
img_83392	富而不骄，贵而不舒。
img_83393	规小节者不能成荣名，恶小耻者不能立大功。
img_83394	顾小而忘大，後必有害狐疑犹豫，後必有悔。
img_83395	酒极则乱，乐极则悲。
img_83396	浴不必江海，要之去垢马不必骐骥，要之善走。
img_83397	王侯将相宁有种乎？
img_83398	燕雀安知鸿鹄之志。
img_83399	运筹策帷帐之中，决胜于千里之外。
img_83400	运筹帷幄之中，制胜於无形
img_83401	自暴者，不可与有言也自弃者，不可与有为也。
img_83402	贵上极则反贱，贱下极则反贵，贵出如粪土，贱取如珠玉，财币欲其行如流水。
img_83403	智者千虑，必有一失愚者千虑，必有一得。
img_83404	一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐。贤哉回也！
img_83405	上兵伐谋，其次伐交，其次伐兵，其下攻城。
img_83406	人而无信，不知其可也。
img_83407	知彼知己者，百战不殆不知彼而知己，一胜一负，不知彼，不知己，每战必殆。
img_83408	用贫求富，农不如工，工不如商。
img_83409	天下有道则见，无道则隐。
img_83410	前虑不定，后有大患。
img_83411	功者难成而易败，时者难得而易失也。
img_83412	本富为上，末富次之，奸富最下。
img_83413	重足而立，侧目而视。
img_83414	论至德者不和于俗，成大功者不谋于众。
img_83415	道之以政，齐之以刑，民免而无耻。道之以德，齐之以礼，有耻且格。
img_83416	百里不贩樵，千里不贩籴。
img_83417	将受命之日则忘其家，临军约束则忘其亲，援枹鼓之急则忘其身。
img_83418	将顺其美，匡救其恶，故上下能哙亲也
img_83419	貌言华也，至言实也，苦言药也，甘言疾也。
img_83420	一日不作，百日不食。
img_83421	骄子不孝
img_83422	置将不善，壹败涂地
img_83423	智足以拒谏，言足以饰非
img_83424	贵上极则反贱，贱下极则反贵。
img_83425	法之不行，自于贵戚。
img_83426	以权利合者，权利尽而交疏。
img_83427	安危在出令，存亡在所任。
img_83428	其言必信，其行必果，已诺必诚
img_83429	事君数，斯辱矣朋友数，斯疏矣。
img_83430	善守者藏于九地之下，善攻者动于九天之上。
img_83431	攻其无备，出其不意。
img_83432	故将有五危，必死可杀，必生可虏，忿速可侮，廉洁可辱，爱民可烦。
img_83433	先行其言而后从之。
img_83434	君子不重则不威，学则不固。主忠信，无友不如己者，过则勿惮改。
img_83435	志士仁人，无求生以害仁，有杀身以成仁。
img_83436	与朋友交，言而有信。
img_83437	德之不修，学之不讲，闻义不能徙，不善不能改，是吾忧也。
img_83438	反听之谓聪，内视之谓明，自胜之谓彊。
img_83439	百战百胜，非善之善者也不战而屈人之兵，善之善者也。
img_83440	利而诱之，乱而取之，实而备之，强而避之。
img_83441	富而可求也，虽执鞭之士，吾亦为之，如不可求，从吾所好。
img_83442	饭疏食，饮水，曲肱而枕之，乐亦在其中矣。不义而富且贵，于我如浮云。
img_83443	蜚鸟尽，良弓藏狡兔死，走狗烹。
img_83444	兵无常势，水无常形，能因敌变化而取胜者，谓之神。
img_83445	四体不勤，五谷不分
img_83446	三思而后行。
img_83447	事父母，几谏，谏志不从，又敬不违，劳而不怨。
img_83448	先行其言，而后从之。
img_83449	善出奇者，无穷如天地，不竭如江海。
img_83450	学而不厌，诲人不倦。
img_83451	三人行，必有我师焉，择其善者而从之，其不善者而改之。
img_83452	己欲立而立人，己欲达而达人。
img_83453	默而识之，学而不厌，诲人不倦，何有于我哉！
img_83454	富与贵，是人之所欲也不以其道得之，不处也。
img_83455	弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。
img_83456	内省不疚，夫何忧何惧！
img_83457	人而无信，不知其可也。大车无輗，小车无軏，其何以行之哉？
img_83458	故兵闻拙速，未睹巧之久也。
img_83459	温故而知新，可以为师矣。
img_83460	出其所不趋，趋其所不意。
img_83461	五行无常胜，四时无常位。
img_83462	夫子循循然善诱人
img_83463	佯北勿从，锐卒勿攻，饵兵勿食
img_83464	国有贤相良将，民之师表也。
img_83465	不义而富且贵，于我如浮云。
img_83466	古之所谓善战者，胜于易胜者也。
img_83467	能近取譬，可谓仁之方也已。
img_83468	我专为一，敌分为十，是以十攻其一也
img_83469	唯仁者能好人，能恶人。
img_83470	从心所欲不逾矩。
img_83471	道之以政，齐之以刑，民免而无耻。
img_83472	女为君子儒，无为小人儒。
img_83473	道千乘之国，敬事而信，节用而爱人，使民以时。
img_83474	邦有道，贫且贱焉，耻也邦无道，富且贵焉，耻也。
img_83475	敌近而静者，恃其险也远而挑战者，欲人之进也。
img_83476	无约而请和者，谋也。
img_83477	里仁为美，择不处仁，焉得知？
img_83478	善用兵者，避其锐气，击其惰归。
img_83479	杀敌者，怒也取敌之利者，货也。
img_83480	昔之善战者，先为不可胜，以待敌之可胜。不可胜在己，可胜在敌。
img_83481	君使臣以礼，臣事君以忠。
img_83482	知可以战与不可以战者，胜。
img_83483	诗可以兴，可以观，可以群，可以怨。
img_83484	激水之疾，至于漂石者，势也鸷鸟之疾，至于毁折者，节也。
img_83485	善战者，立于不败之地，而不失敌之败也。
img_83486	水之形避高而趋下，兵之形避实而击虚。
img_83487	学如不及，犹恐失之。
img_83488	视卒如婴儿，故可与之赴深溪视卒如爱子，故可与之俱死。
img_83489	君子之德风，小人之德草，草上之风必偃。
img_83490	过也，人皆见之更也，人皆仰之。
img_83491	辞卑而益备者，进也辞强而进驱者，退也。
img_83492	夫兵形象水，水之形，避高而趋下，兵之形，避实而击虚。水因地而制流，兵因敌而制胜。
img_83493	仁远乎哉？我欲仁，斯仁至矣。
img_83494	凡战者，以正合，以奇胜。
img_83495	贫而无谄，富而无骄
img_83496	居上不宽，为礼不敬，临丧不哀。吾何以观之哉！
img_83497	举直错诸枉，则民服举枉错诸直，则民不服。
img_83498	八佾舞于庭，是可忍也，孰不可忍也
img_83499	父在，观其志父没，观其行三年无改于父之道，可谓孝矣。
img_83500	君子矜而不争，群而不党。
img_83501	始如处女，敌人开户，后如脱兔，敌不及拒。
img_83502	近者说，远者来。
img_83503	今之孝者，是谓能养。至于犬马皆能有养不敬，何以别乎？
img_83504	君子食无求饱，居无求安。敏于事而慎于言，就有道而正焉。可谓好学也已。
img_83505	为政以德，譬如北辰，居其所，而众星共之。
img_83506	中人以上，可以语上也中人以下，不可以语上也。
img_83507	知彼知己者，百战不殆
img_83508	贤者以其昭昭，使人昭昭今以其昏昏，使人昭昭。
img_83509	敏而好学，不耻下问，是以谓之文也。
img_83510	投之亡地然后存，陷之死地然后生。
img_83511	能行之者未必能言，能言之者未必能行。
img_83512	千羊之皮，不如一狐之腋。
img_83513	不怨天，不尤人。
img_83514	毛羽未成，不可以高蜚
img_83515	志于道，据于德，依于仁，游于艺。
img_83516	巧言令色，鲜矣仁。
img_83517	相马失之瘦，相士失之贫。
img_83518	得不为喜，去不为恨。
img_83519	不知命，无以为君子也不知礼，无以立也不知言，无以知人也。
img_83520	众口铄金，积毁销骨。
img_83521	祸不妄至，福不徒来。
img_83522	桃李不言，下自成蹊。
img_83523	当断不断，反受其乱。
img_83524	君子成人之美，不成人之恶
img_83525	千金之裘，非一狐之腋也台榭之榱，非一木之枝也三代之际，非一士之智也
img_83526	岁寒，然后知松柏之后凋也。
img_83527	君子泰而不骄，小人骄而不泰。
img_83528	人弃我取，人取我与。
img_83529	忠告而善道之，不可则止，毋自辱焉。
img_83530	不在其位，不谋其政。
img_83531	君子周而不比，小人比而不周。
img_83532	己所不欲，勿施于人。
img_83533	父母之年，不可不知也。一则以喜，一则以惧。
img_83534	言必信，行必果。
img_83535	朝闻道，夕死可矣。
img_83536	我非生而知之者，好古，敏以求之者也。
img_83537	父母在，不远游，游必有方。
img_83538	其身正，不令而行其身不正，虽令不从。
img_83539	可与言而不与之言，失人不可与言而与之言，失言。知者不失人亦不失言。
img_83540	君子欲讷于言而敏于行。
img_83541	学而不思则罔，思而不学则殆。
img_83542	德不孤，必有邻。
img_83543	名不正，则言不顺言不顺，则事不成
img_83544	千人之诺诺，不如一士之谔谔。
img_83545	善守者，藏于九地之下，善攻者，动于九天之上，故能自保而全胜也。
img_83546	未知生，焉知死？
img_83547	鸟之将死，其鸣也哀人之将死，其言也善。
img_83548	益者三友，损者三友。友直友谅友多闻，益矣友便辟友善柔友便佞，损矣。
img_83549	知者乐水，仁者乐山。知者动，仁者静。知者乐，仁者寿。
img_83550	君子求诸己，小人求诸人。
img_83551	见贤思齐焉，见不贤而内自省也。
img_83552	逝者如斯夫！不舍昼夜。
img_83553	不患无位，患所以立。不患莫己知，求为可知也。
img_83554	不患人之不己知，患不知人也。
img_83555	君子不器。
img_83556	巧笑倩兮，美目盼兮，素以为绚兮。
img_83557	朽木不可雕也，粪土之墙不可杇也，于予与何诛？
img_83558	成事不说，遂事不谏，既往不咎。
img_83559	君子有九思视思明，听思聪，色思温，貌思恭，言思忠，事思敬，疑思问，忿思难，见得思义。
img_83560	天下熙熙，皆为利来天下攘攘，皆为利往。
img_83561	君子和而不同，小人同而不和。
img_83562	往者不可谏，来者犹可追。
